country_code,country,year,gdp_per_capita_constant_2015_usd,gdp_growth_annual_pct,adjusted_inflation_annual_pct,adjusted_unemployment_total_pct_ilo_estimate,life_expectancy_years,adjusted_infant_mortality_per_1000_live_births,secondary_school_enrollment_gross_pct,access_to_electricity_pct_population,individuals_using_internet_pct_population,trade_pct_gdp,PC1,PC2,PC3
EGY,"Egypt, Arab Rep.",2015,3306.98159414141,4.37201907790141,-10.370490343517,-13.052,70.135,-24.1,74.56237539136185,99.3,37.8193834276939,34.8459429600229,-1.4306360356974437,-0.4884748987538688,0.5031163234995487
EGY,"Egypt, Arab Rep.",2016,3381.22246306207,4.34664345555447,-13.8136062148289,-12.45,70.437,-23.7,75.7524086692863,100.0,41.2480670885772,30.2465490514505,-1.2637536358714674,-0.6076455125961815,0.8814271426495907
EGY,"Egypt, Arab Rep.",2017,3452.90961245539,4.18122099994778,-29.5066083940038,-11.767,70.709,-23.4,76.4337653082262,100.0,44.9502042452857,42.8321343581608,-1.0417447662241457,-0.9569558102149094,2.30754628188485
EGY,"Egypt, Arab Rep.",2018,3568.63966286161,5.3311086189448,-14.4014657807421,-9.855,70.974,-23.1,76.9816189396849,100.0,46.92433676792,45.9110196733959,-0.9368946893444333,-0.21320758147863259,0.9885103325128228
EGY,"Egypt, Arab Rep.",2019,3701.2446345188,5.55209307156956,-9.15279959324803,-7.851,71.213,-22.9,77.9093978841525,100.0,57.2828663990195,41.1240171551108,-0.692608442759277,-0.0004917450223934096,0.517218022379021
EGY,"Egypt, Arab Rep.",2020,3770.86947867421,3.55016483786838,-5.04493288977538,-7.974,69.79,-22.6,79.6544750074231,100.0,71.91420096,32.1262555667523,-0.5215676429180298,-0.465764859585442,-0.26856586773626057
EGY,"Egypt, Arab Rep.",2021,3837.31992324447,3.29064601202211,-5.21404940513042,-7.441,68.976,-22.2,81.8833487066739,100.0,72.05599976,29.8569734808122,-0.5178856816787352,-0.587614921940299,-0.3088965599830349
EGY,"Egypt, Arab Rep.",2022,4029.78295457978,6.58784560886967,-13.8956609775177,-6.546,71.01,-21.8,83.17910545272494,100.0,72.19806556,36.9831048772713,-0.27360518412388746,-0.23134281175610558,1.1093904271447177
EGY,"Egypt, Arab Rep.",2023,4111.3118478995,3.76028052279247,-33.8847763115546,-6.753,71.633,-21.3,84.474862198776,100.0,74.01190186,40.4504007720031,-0.009186222427260481,-1.1255412083710712,2.645592045435187
IND,India,2010,1235.15939133951,8.49758470221235,-11.9893899204244,-7.631,67.162,-46.3,64.9475936889648,76.3,7.5,49.2552064974161,-4.867804898579795,0.5166932036298734,1.054465456977941
IND,India,2011,1281.61054354933,5.24131619937695,-8.91179336483371,-7.609,67.623,-44.2,67.1251678466797,79.5,10.07,55.6238800135298,-4.345870493229516,0.2898099429944145,0.22817203651843906
IND,India,2012,1333.09626557668,5.45638755166587,-9.47899691419801,-7.645,68.076,-42.2,69.8089599609375,79.9,11.10000038,55.7937217287511,-4.100923537332078,0.27360165294868416,0.3345140010465712
IND,India,2013,1399.4537980287,6.38610640094825,-10.0178784746102,-7.678,68.499,-40.1,69.4771270751953,83.1,12.30000019,53.8441319466777,-3.8134469450300625,0.4191272168505109,0.5741257817348604
IND,India,2014,1484.31640682913,7.41022760508854,-6.66565671867899,-7.656,68.932,-38.2,74.8887023925781,85.1,13.5,48.9221857470669,-3.483945215879591,0.5070762938712322,0.4650208192220031
IND,India,2015,1583.99815907985,7.99625378571471,-4.90697344127256,-7.629,69.326,-36.3,74.6113662719727,88.0,14.89999962,41.9229138658647,-3.232886585395284,0.635099297658373,0.46293633676959933
IND,India,2016,1694.46534973825,8.25630550179086,-4.94821634062141,-7.611,69.709,-34.6,75.9372863769531,89.6,16.5,40.082485713276,-2.9783777651498884,0.6551883861870316,0.5420143595918504
IND,India,2017,1788.69770318446,6.79538341897911,-3.32817337461298,-7.626,70.068,-32.9,74.6743774414062,91.8,18.20000076,40.7424969545225,-2.6971133348257634,0.6169187093216353,0.1745556080990517
IND,India,2018,1883.35772705062,6.45385134497769,-3.9388264669163,-7.652,70.415,-31.3,76.0025787353516,95.7,20.0813000379384,43.6169693323889,-2.2994850325055456,0.5959832932506111,0.1878880466904801
IND,India,2019,1936.03067741067,3.87143694070356,-3.72950573539129,-6.51,70.746,-29.8,75.8716506958008,95.9,29.52350044,39.9054035306442,-1.9452272168850624,0.3450472533651057,-0.2232988049908184
IND,India,2020,1806.50110583878,-5.77772470686801,-6.62343677628535,-7.859,70.156,-28.3,77.6271548412386,96.5,43.40544313,37.7581053292768,-1.4068712574541364,-1.141122465604265,-1.5094849916022997
IND,India,2021,1965.30943437506,9.68959249192875,-5.13140747176369,-6.38,67.282,-27.0,80.6246396728944,99.6,49.2580986,45.4230887840446,-1.654621049148831,0.5234680385329371,0.5025931395417066
IND,India,2022,2098.2112447615,7.60936497768895,-6.69903414079852,-4.822,71.698,-25.7,81.1778608399708,99.2,55.9,50.0752701498882,-0.9192619269850837,0.6664491040157517,0.49915541821984627
IND,India,2023,2270.9051808027,9.19075493028345,-5.64914318907925,-4.172,72.003,-24.5,78.8639591218839,99.5,60.25230026,44.9928422877561,-0.8289996176862499,0.9441773456956436,0.6797536258529535
